STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,FINANCING_SCHEME,Financing scheme,FINANCING_SCHEME_REV,Revenues of financing schemes,FUNCTION,Health function,MODE_PROVISION,Mode of provision,PROVIDER,Health care provider,FACTOR_PROVISION,Factor of provision,ASSET_TYPE,Asset type,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,CURRENCY,Currency,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,COL,Colombia,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF2,Voluntary health care payment schemes,_Z,Not application,HC1,Curative care,HBEDT,Inpatient,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.061,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,JPN,Japan,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF1,Government/compulsory schemes,_Z,Not application,HC1,Curative care,HBOUT,Outpatient,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,2.341,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,DEU,Germany,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF22,NPISH financing schemes,_Z,Not application,HC1,Curative care,HBOUT,Outpatient,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.001,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,POL,Poland,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,HC1,Curative care,HBOUT,Outpatient,HP34,Ambulatory,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.912,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,LVA,Latvia,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,HC1,Curative care,_T,Total,HP11,General hospitals,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,1.279,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,EST,Estonia,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF21,Voluntary health insurance schemes,_Z,Not application,HC1,Curative care,HBOUT,Outpatient,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.005,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,BRA,Brazil,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF2,Voluntary health care payment schemes,_Z,Not application,HC1,Curative care,HBOUT,Outpatient,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.719,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,PRT,Portugal,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF1,Government/compulsory schemes,_Z,Not application,HC1,Curative care,HB,Home-based,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.02,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,BGR,Bulgaria,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,HC1,Curative care,_T,Total,HP11,General hospitals,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,2.118,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,ISL,Iceland,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,HC1,Curative care,HBEDT,Inpatient,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,1.967,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,CYP,Cyprus,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF3,Household out-of-pocket payments,_Z,Not application,HC1,Curative care,DAY,Day,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.064,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,ISL,Iceland,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,HC1,Curative care,_T,Total,HP33,Other healthcare practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.02,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,PRT,Portugal,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,HC1,Curative care,DAY,Day,HP11,General hospitals,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.572,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,CRI,Costa Rica,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF121,Social health insurance schemes,_Z,Not application,HC1,Curative care,HBOUT,Outpatient,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.544,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,AUT,Austria,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,HC1,Curative care,_T,Total,HP9,Rest of the world,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.079,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,DNK,Denmark,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF11,Government schemes,_Z,Not application,HC1,Curative care,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,5.281,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,BRA,Brazil,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_U,Unknown,_Z,Not application,HC1,Curative care,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.043,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,GRC,Greece,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,HC1,Curative care,_T,Total,HP1,Hospitals,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,3.687,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,MLT,Malta,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF31,Out-of-pocket excluding cost-sharing,_Z,Not application,HC1,Curative care,HB,Home-based,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.601,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,JPN,Japan,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,HC1,Curative care,HBEDT,Inpatient,HP33,Other healthcare practitioners,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.001,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,LTU,Lithuania,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF2,Voluntary health care payment schemes,_Z,Not application,HC1,Curative care,HBEDT,Inpatient,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.031,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,BGR,Bulgaria,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF1,Government/compulsory schemes,_Z,Not application,HC1,Curative care,HBOUT,Outpatient,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.473,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,BRA,Brazil,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,HC1,Curative care,HBEDT,Inpatient,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,1.912,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,BEL,Belgium,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF11,Government schemes,_Z,Not application,HC1,Curative care,HBOUT,Outpatient,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.034,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,LTU,Lithuania,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,HC1,Curative care,_T,Total,HP8,Rest of the economy,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.029,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,ROU,Romania,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,HC1,Curative care,HBOUT,Outpatient,HP9,Rest of the world,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.001,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,JPN,Japan,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF12HF13,Compulsory contributory health insurance schemes,_Z,Not application,HC1,Curative care,HBEDT,Inpatient,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,2.347,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,CRI,Costa Rica,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF3,Household out-of-pocket payments,_Z,Not application,HC1,Curative care,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.716,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,SVN,Slovenia,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF12HF13,Compulsory contributory health insurance schemes,_Z,Not application,HC1,Curative care,HBOUT,Outpatient,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,1.671,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,POL,Poland,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF23,Enterprise financing schemes,_Z,Not application,HC1,Curative care,HBOUT,Outpatient,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.007,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,LVA,Latvia,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF21,Voluntary health insurance schemes,_Z,Not application,HC1,Curative care,HBEDT,Inpatient,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.008,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,FIN,Finland,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,HC1,Curative care,HBOUT,Outpatient,HP1,Hospitals,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,1.372,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,PRT,Portugal,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,HC1,Curative care,HBEDT,Inpatient,HP9,Rest of the world,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.041,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,SVN,Slovenia,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,HC1,Curative care,DAY,Day,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.178,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,FRA,France,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,HC1,Curative care,HB,Home-based,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.463,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,FIN,Finland,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF122,Compulsory private insurance schemes,_Z,Not application,HC1,Curative care,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.076,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,SWE,Sweden,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,HC1,Curative care,HBOUT,Outpatient,HP32,Dental practices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.614,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,CZE,Czechia,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF2HF3,Voluntary schemes/household out-of-pocket payments,_Z,Not application,HC1,Curative care,HBOUT,Outpatient,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.288,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,CZE,Czechia,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF1,Government/compulsory schemes,_Z,Not application,HC1,Curative care,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,3.45,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,LTU,Lithuania,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF11,Government schemes,_Z,Not application,HC1,Curative care,HBOUT,Outpatient,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.042,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,CZE,Czechia,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF22,NPISH financing schemes,_Z,Not application,HC1,Curative care,HBEDT,Inpatient,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.001,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,FRA,France,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF12HF13,Compulsory contributory health insurance schemes,_Z,Not application,HC1,Curative care,HBEDT,Inpatient,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,2.175,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,MEX,Mexico,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,HF31,Out-of-pocket excluding cost-sharing,_Z,Not application,HC1,Curative care,HBEDT,Inpatient,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.31,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,SVK,Slovak Republic,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,HC1,Curative care,HBOUT,Outpatient,HP34,Ambulatory,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.483,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,CYP,Cyprus,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,HC1,Curative care,HBEDT,Inpatient,HP12,Mental health hospitals,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.018,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,BEL,Belgium,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,HC1,Curative care,_T,Total,HP12,Mental health hospitals,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,0.159,,,,,,,,,,,,0,Units,1,One
